URL,Heading,Content
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Information Systems in Accounting and Finance,"In today’s highly competitive business environment, information is power – especially financial information. This module offers a broad insight into the role of accounting information systems and emerging technologies within the competitive business environment and explores how managers of business organisations use financial information to convey financial stability and performance."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Management Accounting,"Management account provides information to internal management for planning, organising and controlling organisational resources. Become familiar with concepts for calculating costs and prices of a product or service. You'll learn how to produce, analyse and articulate key information to an organisation's decision makers."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Financial Markets and Investment Banking,"Gain an understanding of modern financial markets and instruments. You'll learn to apply these concepts by following and interpreting current affairs in the financial markets. The module emphasises the role of investment banks, and the analysis is complemented with case studies and examples from the finance news."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Understanding Entrepreneurship,"Working with a local entrepreneurial firm, you'll get first-hand experience of exploring concepts around entrepreneurship. You'll gain insight into the real-life challenges and how local entrepreneurs overcome/negotiate those issues brining into play their individuality, commitment, and desire to make real change."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Disruptive and Emerging Technologies,"In this module, you'll have the flexibility to select a technology theme that you are excited about (e.g. cryptocurrencies, blockchain, artificial intelligence, augmented reality, etc.), and explore their management and socio-economic implications."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Sustainable Business and Innovation,"Develop insights into the major trends, challenges and innovative concepts relating to business sustainability and corporate responsibility."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Macroeconomics: Managing the Economy,"You’ll learn the ways that government policy affects the course of the economy through its influence on the rate of inflation, economic growth, and the level of employment."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Company Law,"Develop your understanding of the legal environment within which an accountant works, developing the ability to locate, extract and analyse data from multiple sources."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Summer School,Broaden your experience in an international setting and study in one of our partner institutions for up to three weeks over the summer. This module can count towards your degree.
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Advanced Financial Reporting and Theory,Develop advanced knowledge of the role of financial reporting within the competitive business environment and explore how managers of business organisations use financial information to convey financial stability and performance.
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,International Finance,"Gain practical knowledge of foreign exchange markets, international monetary and financial theories, foreign exchange risk management and international investment strategies."
